,capacidad,alcaldia,latitud,longitud,alcaldia_id
122,2500,Milpa Alta,19.189018,-99.02173,009
123,2500,Milpa Alta,19.19843,-99.008261,009
124,2500,Milpa Alta,19.19688,-99.002858,009
125,2500,Milpa Alta,19.218958,-98.996634,009
126,2500,Milpa Alta,19.219551,-98.998508,009
127,2500,Milpa Alta,19.190943,-99.093473,009
128,2500,Milpa Alta,19.195217,-99.023106,009
129,2500,Milpa Alta,19.19394,-99.092322,009
130,2500,Milpa Alta,19.193284,-99.003732,009
131,2500,Milpa Alta,19.191261,-99.001236,009
132,2500,Milpa Alta,19.198644,-99.024874,009
133,2500,Milpa Alta,19.181241,-99.030176,009
134,2500,Milpa Alta,19.220328,-99.00163,009
135,2500,Tlalpan,19.257152,-99.186352,012
136,2500,Milpa Alta,19.19518,-99.00636,009
137,2500,Milpa Alta,19.17549,-99.026787,009
138,2500,Milpa Alta,19.1874,-99.019497,009
139,2500,Milpa Alta,19.198265,-99.053603,009
140,2500,Milpa Alta,19.199368,-99.033019,009
141,2500,Milpa Alta,19.193884,-99.019795,009
142,2500,Milpa Alta,19.22204,-98.998714,009
143,2500,Milpa Alta,19.192102,-99.001883,009
144,2500,Milpa Alta,19.186981,-99.020372,009
145,2500,Milpa Alta,19.22164,-99.00055,009
146,2500,Milpa Alta,19.224395,-98.999267,009
147,2500,Milpa Alta,19.219261,-98.99691,009
148,2500,Milpa Alta,19.226339,-98.992814,009
149,1100,Milpa Alta,19.188692,-98.996899,009
150,2500,Milpa Alta,19.187778,-99.026733,009
151,2500,Milpa Alta,19.19431,-99.002665,009
152,2500,Milpa Alta,19.196041,-99.018602,009
153,2500,Milpa Alta,19.178774,-98.993424,009
154,2500,Milpa Alta,19.184063,-99.026642,009
155,2500,Milpa Alta,19.172778,-99.034943,009
156,2500,Milpa Alta,19.17519,-98.997196,009
157,2500,Milpa Alta,19.19511,-99.001368,009
158,2500,Milpa Alta,19.178157,-99.036868,009
159,2500,Milpa Alta,19.195639,-99.001626,009
160,2500,Milpa Alta,19.181878,-99.03243,009
161,2500,Milpa Alta,19.196026,-99.022668,009
162,2500,Milpa Alta,19.195377,-99.001673,009
163,2500,Milpa Alta,19.218689,-98.992367,009
164,2500,Milpa Alta,19.173014,-98.994704,009
165,2500,Milpa Alta,19.201925,-99.008256,009
166,2500,Milpa Alta,19.201965,-99.027316,009
167,2500,Milpa Alta,19.213444,-99.042458,009
168,2500,Milpa Alta,19.193684,-99.005588,009
169,2500,Milpa Alta,19.183257,-99.069313,009
170,2500,Milpa Alta,19.172784,-98.997727,009
171,2500,Milpa Alta,19.196792,-99.003057,009
